"SYMBOL","OPEN","HIGH","LOW","PREV.CLOSE","LTP","INDICATIVECLOSE","CHNG","%CHNG","VOLUME(shares)","VALUE(₹Crores)","52WH","52WL","30D%CHNG","365D%CHNG"
"NIFTY 200","14,420.20","14,434.40","14,369.00","14,377.25","14,391.75","-","14.50","0.10","40,12,28,450","8,004.91","14,434.40","11,941.45","1.53","2.21"
"SWIGGY","427.00","433.90","424.00","421.90","433.25","-","11.35","2.69","22,66,400","97.73","617.30","297.00","-7.97","-"
"ITCHOTELS","221.59","225.22","220.36","219.41","224.75","-","5.34","2.43","20,17,106","45.11","261.62","155.10","-7.32","-"
"SUZLON","53.60","54.34","53.40","53.09","54.17","-","1.08","2.03","2,28,21,584","123.17","74.30","46.15","-12.10","-26.46"
"ENRIN","3,124.00","3,159.00","3,105.00","3,100.80","3,157.00","-","56.20","1.81","34,372","10.79","3,625.00","2,508.80","-9.75","-"
"CIPLA","1,646.70","1,669.00","1,642.10","1,639.10","1,665.00","-","25.90","1.58","7,09,223","117.88","1,669.00","1,335.00","4.02","5.63"
"INDUSTOWER","356.45","361.20","353.60","354.40","359.90","-","5.50","1.55","11,40,917","40.96","430.00","312.55","-0.69","-7.84"
"BAJAJHFL","109.10","111.00","109.07","109.05","110.73","-","1.68","1.54","24,77,426","27.39","147.70","103.10","-4.83","-21.73"
"M&MFIN","298.45","305.00","296.40","296.85","301.00","-","4.15","1.40","2,84,086","8.51","305.40","231.02","-86.63","2.01"
"TORNTPOWER","1,310.00","1,324.00","1,305.00","1,304.20","1,320.00","-","15.80","1.21","90,985","11.98","2,037.00","1,188.00","3.14","-33.92"
"BAJAJFINSV","2,150.00","2,184.00","2,134.00","2,139.80","2,165.00","-","25.20","1.18","3,67,784","79.37","2,184.00","1,551.65","3.51","17.58"
"IDEA","9.03","9.06","8.95","8.94","9.04","-","0.10","1.12","19,49,80,250","175.48","10.47","6.12","6.43","-0.89"
"ACC","1,835.40","1,856.10","1,835.40","1,830.90","1,850.00","-","19.10","1.04","38,297","7.07","2,378.40","1,778.45","-2.57","-19.90"
"HYUNDAI","2,345.00","2,348.80","2,327.00","2,323.20","2,344.50","-","21.30","0.92","1,04,512","24.48","2,890.00","1,541.70","-17.30","-"
"COCHINSHIP","1,800.80","1,814.50","1,800.80","1,797.00","1,811.50","-","14.50","0.81","1,88,901","34.18","2,545.00","1,180.20","-5.46","14.89"
"VOLTAS","1,440.00","1,460.00","1,432.90","1,444.80","1,455.80","-","11.00","0.76","2,00,517","29.14","1,877.95","1,135.00","1.75","-22.54"
"BAJAJHLDNG","12,799.00","12,799.00","12,623.00","12,605.00","12,700.00","-","95.00","0.75","7,414","9.43","14,763.00","10,010.00","-4.55","23.09"
"TATATECH","684.95","687.45","680.85","680.85","685.60","-","4.75","0.70","2,51,178","17.20","1,074.95","597.00","-6.01","-35.77"
"INFY","1,478.00","1,486.00","1,470.00","1,460.90","1,471.00","-","10.10","0.69","16,98,704","250.73","2,006.45","1,307.00","-5.15","-22.28"
"JSWSTEEL","1,150.00","1,154.70","1,148.60","1,145.20","1,153.00","-","7.80","0.68","1,15,719","13.34","1,178.80","880.00","2.00","15.37"
"RVNL","330.60","333.30","330.60","329.00","331.20","-","2.20","0.67","8,61,044","28.60","501.80","301.60","-9.48","-31.07"
"GRASIM","2,875.90","2,875.90","2,861.50","2,854.00","2,873.00","-","19.00","0.67","48,792","14.00","2,911.00","2,276.95","-0.83","3.37"
"COLPAL","2,258.00","2,267.90","2,246.80","2,244.20","2,259.00","-","14.80","0.66","75,777","17.10","3,414.70","2,151.00","-4.01","-33.92"
"VBL","456.40","461.00","456.35","456.35","459.30","-","2.95","0.65","5,07,808","23.33","663.60","419.55","-3.81","-22.49"
"NMDC","75.80","76.19","75.31","75.24","75.69","-","0.45","0.60","33,18,059","25.10","82.83","59.53","-1.69","-67.49"
"KPITTECH","1,152.00","1,155.30","1,148.00","1,146.60","1,153.50","-","6.90","0.60","78,204","9.01","1,797.60","1,020.60","-10.78","-35.81"
"AXISBANK","1,225.80","1,238.80","1,222.00","1,226.00","1,233.00","-","7.00","0.57","19,40,248","239.59","1,247.00","933.50","7.93","2.44"
"PREMIERENE","1,058.90","1,066.70","1,056.00","1,052.00","1,058.00","-","6.00","0.57","1,10,035","11.67","1,388.00","774.05","0.07","-3.90"
"GLENMARK","1,852.80","1,871.00","1,844.90","1,852.80","1,863.30","-","10.50","0.57","49,883","9.23","2,284.80","1,275.50","-11.15","6.58"
"NTPCGREEN","100.20","100.80","100.20","99.98","100.50","-","0.52","0.52","7,93,569","7.98","155.35","84.55","-3.89","-"
"MFSL","1,547.90","1,548.00","1,529.60","1,533.30","1,540.90","-","7.60","0.50","70,924","10.93","1,674.80","950.00","-1.82","28.13"
"YESBANK","22.79","22.90","22.68","22.64","22.75","-","0.11","0.49","2,57,43,458","58.59","24.30","16.02","6.94","7.35"
"RECLTD","377.40","378.00","376.00","374.70","376.55","-","1.85","0.49","11,49,313","43.35","573.30","348.60","-2.55","-31.41"
"DRREDDY","1,288.00","1,294.00","1,283.10","1,282.00","1,288.30","-","6.30","0.49","2,26,788","29.24","1,405.90","1,020.00","-3.00","-80.98"
"BAJFINANCE","1,084.90","1,089.00","1,081.00","1,081.00","1,086.00","-","5.00","0.46","9,11,624","98.94","1,089.00","645.10","8.92","-84.33"
"OFSS","8,620.00","8,670.00","8,601.00","8,585.50","8,625.00","-","39.50","0.46","15,929","13.75","13,220.00","7,038.00","-4.80","-25.88"
"FORTIS","1,095.05","1,101.40","1,094.00","1,093.00","1,098.00","-","5.00","0.46","87,444","9.60","1,104.30","572.00","14.58","79.31"
"AMBUJACEM","569.00","569.20","565.70","565.50","568.00","-","2.50","0.44","1,66,817","9.47","624.95","453.05","-2.91","-1.47"
"JSWENERGY","531.50","531.50","525.30","525.20","527.45","-","2.25","0.43","4,89,245","25.86","776.90","418.75","-3.72","-22.41"
"TATASTEEL","172.40","173.25","172.10","171.95","172.68","-","0.73","0.42","24,71,987","42.70","177.82","122.62","0.27","10.66"
"BPCL","339.40","340.25","337.70","337.70","339.10","-","1.40","0.41","4,04,063","13.69","358.65","234.01","2.47","-1.40"
"ATGL","624.00","627.35","621.00","620.70","623.25","-","2.55","0.41","1,20,665","7.53","862.00","532.60","-4.72","-15.27"
"TIINDIA","3,131.50","3,159.80","3,121.50","3,126.30","3,138.20","-","11.90","0.38","12,249","3.84","4,810.80","2,407.10","-6.11","-30.35"
"LT","3,892.00","3,895.00","3,877.20","3,872.70","3,887.00","-","14.30","0.37","2,60,327","101.23","3,963.50","2,965.30","5.37","8.24"
"BDL","1,541.50","1,549.80","1,538.50","1,534.60","1,540.00","-","5.40","0.35","1,60,980","24.85","2,096.60","890.00","-5.95","35.82"
"ADANIPORTS","1,477.00","1,481.50","1,470.00","1,467.00","1,472.00","-","5.00","0.34","3,94,024","58.16","1,494.00","995.65","2.75","4.37"
"NAUKRI","1,324.00","1,326.00","1,312.00","1,311.50","1,315.90","-","4.40","0.34","52,958","6.98","1,825.78","1,157.00","-4.69","-83.79"
"APLAPOLLO","1,745.10","1,767.50","1,745.10","1,749.10","1,755.00","-","5.90","0.34","38,844","6.82","1,936.00","1,272.70","3.43","10.98"
"ASHOKLEY","136.60","136.98","135.86","135.84","136.27","-","0.43","0.32","29,18,743","39.77","144.50","95.93","-3.58","-39.16"
"IRB","43.15","43.50","43.10","43.07","43.20","-","0.13","0.30","16,09,206","6.97","61.99","40.51","-1.19","-24.79"
"TATAMOTORS","402.80","403.40","400.05","399.75","400.85","-","1.10","0.28","34,49,156","138.72","917.65","376.30","-43.49","-56.08"
"NATIONALUM","227.00","227.92","226.50","226.03","226.65","-","0.62","0.27","15,87,416","36.10","262.99","137.75","6.82","-2.62"
"SIEMENS","3,124.00","3,124.00","3,099.00","3,096.80","3,105.10","-","8.30","0.27","37,003","11.49","8,035.95","2,450.00","-6.89","-60.31"
"PFC","401.00","401.50","396.95","397.95","399.00","-","1.05","0.26","6,61,678","26.42","523.90","357.25","-2.73","-15.81"
"BHEL","234.00","235.68","233.85","233.76","234.36","-","0.60","0.26","7,12,531","16.73","272.10","176.00","-1.44","-7.91"
"SOLARINDS","14,070.00","14,140.00","14,064.00","14,084.00","14,120.00","-","36.00","0.26","10,143","14.31","17,820.00","8,482.50","-4.01","23.31"
"BANKINDIA","130.55","131.49","130.00","129.77","130.10","-","0.33","0.25","37,59,439","49.11","131.49","90.05","7.72","23.80"
"PIDILITIND","1,537.00","1,537.00","1,526.30","1,526.30","1,530.00","-","3.70","0.24","62,310","9.55","1,620.00","1,311.10","-49.93","-52.06"
"VEDL","477.50","477.95","474.50","473.90","475.00","-","1.10","0.23","8,41,526","40.05","526.95","363.00","4.02","-1.45"
"SHRIRAMFIN","695.50","697.50","690.30","693.95","695.50","-","1.55","0.22","6,74,998","46.86","717.50","493.35","9.59","-79.25"
"BHARTIHEXA","1,802.00","1,832.00","1,801.20","1,803.00","1,807.00","-","4.00","0.22","21,678","3.94","2,052.90","1,234.00","5.15","19.67"
"WAAREEENER","3,516.00","3,531.00","3,505.00","3,506.60","3,514.00","-","7.40","0.21","2,19,764","77.31","3,865.00","1,863.00","-0.56","-"
"ADANIGREEN","1,044.00","1,045.40","1,036.30","1,034.10","1,036.30","-","2.20","0.21","4,57,938","47.68","1,753.00","758.00","0.33","-40.43"
"M&M","3,608.20","3,628.10","3,604.30","3,599.10","3,606.00","-","6.90","0.19","2,86,950","103.92","3,723.80","2,425.00","0.19","21.42"
"MOTILALOFS","1,029.00","1,030.00","1,021.00","1,020.35","1,022.10","-","1.75","0.17","2,66,944","27.39","1,040.60","513.00","8.01","-0.91"
"TECHM","1,450.00","1,457.30","1,442.00","1,444.40","1,446.90","-","2.50","0.17","1,14,229","16.57","1,807.70","1,209.40","-7.04","-14.43"
"POWERGRID","288.30","289.60","288.20","288.20","288.70","-","0.50","0.17","3,98,291","11.50","345.40","247.30","0.70","-13.21"
"HDFCLIFE","740.60","746.40","740.60","742.25","743.50","-","1.25","0.17","1,19,115","8.87","820.75","584.30","-5.11","-0.03"
"DIXON","16,224.00","16,264.00","16,060.00","16,075.00","16,100.00","-","25.00","0.16","66,310","107.14","19,148.90","12,202.20","-11.56","4.51"
"JIOFIN","311.45","313.30","311.05","310.70","311.20","-","0.50","0.16","31,90,393","99.59","347.35","198.65","-1.99","-5.95"
"FEDERALBNK","228.39","229.30","227.00","227.08","227.45","-","0.37","0.16","29,50,169","67.25","229.90","172.66","14.73","16.27"
"TITAN","3,737.20","3,746.00","3,719.00","3,737.20","3,743.30","-","6.10","0.16","1,56,306","58.36","3,749.90","2,925.00","7.79","10.52"
"EICHERMOT","7,037.00","7,058.00","7,005.00","7,013.50","7,025.00","-","11.50","0.16","14,379","10.10","7,122.50","4,508.75","0.57","47.17"
"IGL","208.50","208.50","207.00","207.19","207.50","-","0.31","0.15","1,62,695","3.38","231.00","153.05","-3.69","-54.13"
"TATACOMM","1,911.80","1,929.90","1,901.00","1,905.10","1,907.50","-","2.40","0.13","52,989","10.16","2,004.00","1,291.00","13.10","1.71"
"BEL","418.15","419.15","416.60","416.50","417.00","-","0.50","0.12","29,15,071","121.86","436.00","240.25","1.86","45.05"
"POWERINDIA","17,600.00","17,600.00","17,417.00","17,452.00","17,472.00","-","20.00","0.11","4,432","7.75","21,800.00","8,801.00","-8.27","12.36"
"CONCOR","536.05","536.65","533.10","533.80","534.40","-","0.60","0.11","1,11,400","5.96","700.76","481.00","-3.60","-38.83"
"LICHSGFIN","573.15","576.30","572.85","573.05","573.70","-","0.65","0.11","91,555","5.26","657.60","483.70","-3.33","-7.36"
"HDFCBANK","1,006.00","1,010.00","1,004.00","1,002.95","1,004.00","-","1.05","0.10","34,71,600","349.99","1,020.00","812.15","3.73","-40.37"
"PAYTM","1,311.00","1,319.00","1,302.00","1,305.50","1,306.80","-","1.30","0.10","5,71,597","75.03","1,319.00","651.50","10.90","80.03"
"IOC","153.90","155.00","153.70","153.85","154.00","-","0.15","0.10","11,88,949","18.33","166.68","110.72","3.60","-6.95"
"COALINDIA","393.10","393.15","390.60","390.60","390.95","-","0.35","0.09","6,78,084","26.54","494.75","349.25","-0.99","-20.64"
"GMRAIRPORT","92.50","92.58","91.60","91.96","92.02","-","0.06","0.07","16,59,032","15.27","97.00","67.75","-0.62","-"
"DABUR","506.15","507.85","503.45","504.55","504.80","-","0.25","0.05","1,28,942","6.52","577.00","433.30","-5.77","-11.70"
"EXIDEIND","398.90","401.60","398.00","398.85","399.00","-","0.15","0.04","3,82,337","15.28","498.65","328.00","-3.78","-19.55"
"SHREECEM","29,045.00","29,085.00","28,755.00","28,880.00","28,890.00","-","10.00","0.03","1,726","5.00","32,490.00","23,500.00","-3.35","18.72"
"ADANIENT","2,554.90","2,562.00","2,542.30","2,548.10","2,548.50","-","0.40","0.02","1,01,019","25.79","3,070.00","2,025.00","0.95","-15.12"
"HINDPETRO","454.95","456.50","451.70","452.95","453.05","-","0.10","0.02","3,27,276","14.88","465.20","287.55","9.66","4.95"
"LICI","890.00","894.70","890.00","891.85","892.00","-","0.15","0.02","1,14,200","10.20","1,007.80","715.30","-0.19","-4.60"
"JUBLFOOD","592.00","595.55","588.25","590.75","590.85","-","0.10","0.02","1,17,879","6.97","796.75","558.25","-5.69","-5.48"
"ABB","5,248.00","5,262.00","5,220.00","5,231.50","5,232.00","-","0.50","0.01","26,961","14.14","8,871.30","4,684.45","-3.78","-40.44"
"APOLLOHOSP","8,038.00","8,058.50","7,992.50","8,010.00","8,010.00","-","-","-","31,082","24.94","8,065.00","6,001.00","2.61","14.71"
"BIOCON","364.30","367.60","361.80","364.30","364.30","-","-","-","4,33,779","15.87","406.00","291.00","-1.33","7.16"
"COROMANDEL","2,186.00","2,193.90","2,173.00","2,175.00","2,175.10","-","0.10","-","14,054","3.07","2,718.90","1,560.00","-3.82","34.17"
"LTF","269.78","269.78","267.00","267.54","267.50","-","-0.04","-0.01","5,43,455","14.58","273.57","129.20","8.45","60.55"
"WIPRO","241.00","242.16","240.36","241.24","241.19","-","-0.05","-0.02","20,82,336","50.30","324.60","228.00","-5.72","-56.03"
"UNIONBANK","142.00","142.52","141.10","141.33","141.30","-","-0.03","-0.02","25,39,060","36.04","158.65","100.81","0.73","25.94"
"IRFC","125.63","126.00","125.00","125.07","125.05","-","-0.02","-0.02","21,09,920","26.46","166.90","108.04","-3.56","-15.31"
"NESTLEIND","1,280.00","1,292.00","1,277.30","1,285.40","1,285.00","-","-0.40","-0.03","2,45,138","31.53","1,311.60","1,055.00","7.61","-45.31"
"INDHOTEL","746.05","748.00","741.00","743.00","742.80","-","-0.20","-0.03","2,49,034","18.56","894.90","649.00","-4.20","8.20"
